customer,state,gender,education,customer_lifetime_value,income,monthly_premium_auto,number_of_open_complaints,total_claim_amount,policy_type,vehicle_class
GS98873,Arizona,F,Bachelor,323912,16061,88,0,634,Personal Auto,Four-Door Car
CW49887,California,F,Master,462680,79487,114,0,547,Special Auto,SUV
MY31220,California,F,College,899704,54230,112,0,538,Personal Auto,Two-Door Car
UH35128,Oregon,F,College,2580706,71210,214,1,1027,Personal Auto,Luxury
WH52799,Arizona,F,College,380812,94903,94,0,451,Corporate Auto,Two-Door Car
WL99637,Arizona,M,Bachelor,761414,27293,96,0,469,Personal Auto,Two-Door Car
UC84059,California,F,Master,689846,70950,171,0,566,Personal Auto,Luxury
HW62747,Oregon,M,College,229838,0,63,0,302,Corporate Auto,Four-Door Car
BH11344,Oregon,F,Doctor,280670,37009,71,0,146,Corporate Auto,Two-Door Car
TX28465,Nevada,M,College,520612,52629,65,0,137,Personal Auto,Four-Door Car
OK56965,California,F,Bachelor,4570865,31264,198,1,826,Personal Auto,Luxury
WT22392,Oregon,F,College,800735,65473,67,0,278,Personal Auto,Four-Door Car
PH85036,Washington,F,Bachelor,548255,79325,68,0,251,Corporate Auto,Four-Door Car
KC71643,Oregon,M,High School or Below,246324,99144,61,0,293,Corporate Auto,Four-Door Car
NR32615,California,M,College,549894,22520,73,0,350,Corporate Auto,Four-Door Car
GS69842,Arizona,F,Bachelor,524383,36615,65,0,265,Special Auto,Four-Door Car
WT71621,Washington,F,Bachelor,328046,63297,82,0,252,Personal Auto,Four-Door Car
KD23847,Arizona,F,High School or Below,488654,76374,61,0,293,Personal Auto,Four-Door Car
PE59368,Washington,F,Bachelor,512348,72096,6464,0,252,Personal Auto,Two-Door Car
NK91488,Nevada,M,Master,547956,56005,68,1,326,Personal Auto,Four-Door Car
CR33417,Washington,F,Master,476216,36529,118,0,255,Personal Auto,SUV
WP73172,Oregon,F,Bachelor,828768,81367,103,0,416,Special Auto,SUV
PS30217,California,F,Bachelor,988666,44817,83,0,527,Personal Auto,Four-Door Car
EL62967,Oregon,F,High School or Below,271292,58508,69,0,58,Personal Auto,Two-Door Car
MU23938,Oregon,M,Bachelor,1047768,45259,138,0,272,Personal Auto,SUV
VC83809,California,M,Doctor,343613,30817,88,0,92,Personal Auto,Four-Door Car
VL34577,Oregon,F,High School or Below,259619,0,72,0,346,Personal Auto,Two-Door Car
QE12539,California,M,Doctor,1273195,40870,105,0,504,Personal Auto,SUV
YO15246,Nevada,M,High School or Below,349415,35001,96,3,461,Personal Auto,Four-Door Car
WF73839,Arizona,F,College,759791,49937,64,0,303,Personal Auto,Two-Door Car
TJ11671,Oregon,F,Bachelor,401521,0,109,0,523,Personal Auto,Four-Door Car
SV34223,California,F,College,2047711,58317,73,0,350,Personal Auto,Four-Door Car
XD19546,California,F,High School or Below,816069,0,109,0,523,Personal Auto,SUV
OY95739,Nevada,M,High School or Below,1229869,17101,113,0,542,Corporate Auto,SUV
SW57539,California,F,College,871492,0,118,0,566,Corporate Auto,SUV
IA62027,Arizona,F,Bachelor,485353,0,65,0,468,Personal Auto,Four-Door Car
FZ20933,Oregon,M,High School or Below,488095,24398,63,1,302,Personal Auto,Four-Door Car
WR62597,Oregon,M,College,231138,24641,61,0,295,Corporate Auto,Four-Door Car
KU61611,Arizona,M,High School or Below,432710,69040,108,0,518,Corporate Auto,Luxury
XW98867,Oregon,M,High School or Below,1229869,17101,113,0,542,Personal Auto,SUV
PP80817,California,F,High School or Below,832353,59886,104,0,72,Personal Auto,Luxury
DT77901,Oregon,F,Bachelor,1017972,14290,271,0,1301,Personal Auto,Luxury
DX34647,California,F,College,776127,43137,96,0,461,Personal Auto,Two-Door Car
OD56551,Oregon,M,College,523989,27978,69,1,448,Personal Auto,Four-Door Car
OO63074,California,F,Bachelor,451791,25261,118,0,566,Personal Auto,SUV
EH24828,Nevada,M,College,238977,58652,64,5,307,Personal Auto,Four-Door Car
CX99919,Nevada,F,College,413063,28321,111,0,537,Corporate Auto,SUV
DG80424,Washington,F,College,269157,77411,67,0,258,Personal Auto,Four-Door Car
NU32697,Oregon,M,College,522777,0,72,0,518,Corporate Auto,Four-Door Car
PU98976,California,F,Bachelor,618735,0,88,0,634,Personal Auto,Four-Door Car
ZR20842,Arizona,M,College,511387,94415,127,1,493,Personal Auto,Luxury
NF35573,Oregon,M,High School or Below,1103932,0,103,0,1149,Special Auto,SUV
DF66914,Arizona,F,Bachelor,3222708,45331,100,0,573,Personal Auto,SUV
YM99866,Arizona,M,High School or Below,261197,53904,67,2,322,Personal Auto,Four-Door Car
VH62084,California,M,High School or Below,1337233,0,74,0,811,Personal Auto,Four-Door Car
SE28250,Arizona,M,Bachelor,483898,0,70,2,336,Special Auto,Four-Door Car
MD86050,Oregon,M,High School or Below,472166,0,67,0,482,Personal Auto,Four-Door Car
